Marker	Equal|BA*	Equal|MH*	Equal|PM	Equal|PR	Stepwise|BA*	Stepwise|MH*	Stepwise|PM	Stepwise|PR
D1S1656	47.534	75.685	58.824	76.662	104.48	160.973	112.551	132.417
TPOX	83.061	109.499	111.111	276.62	110.176	138.202	126.127	275.378
D2S441	61.37	87.305	76.923	192.337	253.153	346.237	137.5	528.053
D2S1338	70.111	108.882	76.923	103.74	41.312	65.479	42.056	52.38
D3S1358	51.713	83.654	83.333	131.885	108.334	185.462	91.378	131.229
FGA	29.192	44.386	40	87.452	159.357	278.47	69.29	174.405
D5S818	68.088	97.865	106.53	186.553	116.107	185.863	104.898	161.1
CSF1PO	54.237	82.897	90.909	165.061	1252.266	2107.099	998.004	1646.11
SE33	19.861	29.243	18.182	45.013	14736189145.344	25598612892.213	820.274	15974912108.06
D7S820	36.376	57.376	52.632	125.085	178.818	303.092	123.831	208.142
D8S1179	78.257	112.482	83.333	163.067	1488.974	2273.85	998.004	1788.737
D10S1248	74.079	111.013	111.111	158.411	62.223	104.177	63.38	79.495
TH01	72.232	111.466	100	170.29	118.6	197.341	130.971	250.296
vWA	64.633	98.534	83.333	148.347	124.121	199.063	91.378	147.616
D12S391	39.584	60.235	43.478	86.996	214.578	367.636	87.207	238.365
D13S317	90.555	137.513	111.111	145.899	58.94	94.126	63.38	73.236
D16S539	77.493	114.914	111.111	153.61	23.74	37.092	28.594	31.113
D18S51	36.343	55.749	43.478	93.61	462.797	806.453	185.999	512.605
D19S433	57.933	78.743	58.824	185.407	247.265	364.999	97.856	322.077
D21S11	36.114	51.778	38.462	124.301	360.068	587.071	86.784	455.5
D22S1045	68.003	96.253	96.451	162.885	47.893	74.534	55.018	81.734
