Exclusions	Transform	Equal|range	Equal|meansd	Stepwise|range	Stepwise|meansd
No exclusions	BA*	(-0.11, 0.75)	-0.007 (0.11)	(-0.13, 1.52)	-0.005 (0.07)
No exclusions	MH*	(-0.17, 0.76)	-0.009 (0.11)	(-0.10, 1.57)	-0.006 (0.07)
No exclusions	PM	(-1.11, 0.76)	0.016 (0.13)	(-2.00, 1.25)	0.031 (0.17)
No exclusions	PR	(-0.07, 0.39)	-0.001 (0.07)	(-0.25, 0.48)	-0.001 (0.04)
1 exclusion (int)	BA*	(-1.86, 5.17)	-0.020 (1.34)	(-1.19, 8.18)	0.718 (1.19)
1 exclusion (int)	MH*	(-2.09, 5.56)	0.044 (1.51)	(-1.60, 8.91)	0.853 (1.36)
1 exclusion (int)	PM	(-5.77, 2.62)	0.449 (1.28)	(-8.08, 3.61)	0.479 (1.57)
1 exclusion (int)	PR	(-0.08, 0.84)	0.103 (0.14)	(-0.29, 1.06)	0.138 (0.18)
2 exclusions (int)	BA*	(-3.13, 7.90)	-0.248 (1.93)	(-1.26, 18.30)	1.098 (1.70)
2 exclusions (int)	MH*	(-3.61, 8.74)	-0.119 (2.16)	(-1.56, 18.86)	1.355 (1.93)
2 exclusions (int)	PM	(-9.08, 3.94)	1.014 (1.65)	(-12.79, 10.72)	1.102 (2.02)
2 exclusions (int)	PR	(-0.09, 0.66)	0.088 (0.13)	(-0.20, 0.85)	0.130 (0.17)
1 exclusion (non-int)	BA*	(-1.55, 5.52)	2.243 (1.69)	(-1.10, 6.80)	0.943 (1.36)
1 exclusion (non-int)	MH*	(-1.62, 5.92)	2.476 (1.88)	(-1.61, 7.40)	1.058 (1.54)
1 exclusion (non-int)	PM	(-6.51, 3.07)	-0.362 (1.84)	(-13.37, 4.96)	-0.094 (2.28)
1 exclusion (non-int)	PR	(-0.06, 0.99)	0.367 (0.20)	(-0.26, 0.63)	0.065 (0.11)
